${id},${username},${firstName},${lastName},${email},${password},${phone},${userStatus}
420665201,bruno2004,bruno01,bispo,brunobispo@gmail,981625518,55184657,665201
420665202,bruno2005,bruno02,manuel,manuel@gmail,981625519,55184658,665202
420665203,bruno2006,bruno03,matos,matos@gmail,981625520,55184659,665203
420665204,bruno2007,bruno04,santos,santos@gmail,981625521,55184660,665204
420665205,bruno2008,bruno04,santos,santos@gmail,981625521,55184660,665204
420665206,bruno2009,bruno04,santos,santos@gmail,981625521,55184660,665204
420665207,bruno2010,bruno04,santos,santos@gmail,981625521,55184660,665204
420665208,bruno2011,bruno04,santos,santos@gmail,981625521,55184660,665204
420665209,bruno2012,bruno04,santos,santos@gmail,981625521,55184660,665204
420665210,bruno2013,bruno04,santos,santos@gmail,981625521,55184660,665204
420665211,bruno2014,bruno04,santos,santos@gmail,981625521,55184660,665204
420665212,bruno2015,bruno04,santos,santos@gmail,981625521,55184660,665204
420665213,bruno2016,bruno04,santos,santos@gmail,981625521,55184660,665204
420665214,bruno2017,bruno04,santos,santos@gmail,981625521,55184660,665204
420665215,bruno2018,bruno04,santos,santos@gmail,981625521,55184660,665204
